Entity,Code,Year,GDP per capita (2011 international-$ (PPP-adjusted US$))
Kenya,KEN,2011,2542.901786
Kuwait,KWT,2011,74705.24571
Kyrgyzstan,KGZ,2011,3437.430538
Laos,LAO,2011,4325.658529
Latvia,LVA,2011,19802.06725
Lebanon,LBN,2011,15527.71845
Lesotho,LSO,2011,2312.476654
Liberia,LBR,2011,721.8290152
Lithuania,LTU,2011,22490.60941
Luxembourg,LUX,2011,90444.98892
Macao,MAC,2011,107600.0736
Macedonia,MKD,2011,11290.70692
Madagascar,MDG,2011,1275.212677
Malawi,MWI,2011,1087.381675
Malaysia,MYS,2011,21139.08048
Maldives,MDV,2011,13200.61635
Mali,MLI,2011,1488.560794
Malta,MLT,2011,29213.13932
Mauritania,MRT,2011,3163.781973
Mauritius,MUS,2011,16131.99711
Mexico,MEX,2011,15429.78498
Moldova,MDA,2011,4295.31875
Mongolia,MNG,2011,8656.826246
Montenegro,MNE,2011,13748.30766
Montserrat,MSR,2011,17885.09467
Morocco,MAR,2011,6771.473377
Mozambique,MOZ,2011,925.058727
Myanmar,MMR,2011,3863.977327
Namibia,NAM,2011,8892.989618
Nepal,NPL,2011,1936.455063
Netherlands,NLD,2011,46090.31991
New Zealand,NZL,2011,32141.83282
Nicaragua,NIC,2011,4054.53993
Niger,NER,2011,773.817884
Nigeria,NGA,2011,5168.63157
Norway,NOR,2011,60881.8641
Oman,OMN,2011,45084.61032
Pakistan,PAK,2011,4359.186802
Palestine,PSE,2011,4352.421651
Panama,PAN,2011,16280.04537
Paraguay,PRY,2011,7434.040628
Peru,PER,2011,10329.07009
Philippines,PHL,2011,5754.809834
Poland,POL,2011,22411.55229
Portugal,PRT,2011,26950.64483
Qatar,QAT,2011,156908.9532
Romania,ROU,2011,17639.42028
Russia,RUS,2011,22847.35373
Rwanda,RWA,2011,1384.166786
Saint Kitts and Nevis,KNA,2011,20510.17108
Saint Lucia,LCA,2011,10373.40208
Saint Vincent and the Grenadines,VCT,2011,9261.018921
Sao Tome and Principe,STP,2011,2796.8036
Saudi Arabia,SAU,2011,51049.85203
Senegal,SEN,2011,2085.76975
Serbia,SRB,2011,12262.51211
Seychelles,SYC,2011,22061.92724
Sierra Leone,SLE,2011,1286.39033
Singapore,SGP,2011,71790.48652
Sint Maarten (Dutch part),SXM,2011,37179.72018
Slovakia,SVK,2011,25388.92538
Slovenia,SVN,2011,28603.68842
South Africa,ZAF,2011,11961.02493
South Korea,KOR,2011,32543.39351
Spain,ESP,2011,32843.51405
Sri Lanka,LKA,2011,8341.599273
Sudan (former),,2011,3819.673935
Suriname,SUR,2011,14901.32204
Swaziland,SWZ,2011,7598.206172
Sweden,SWE,2011,43353.23091
Switzerland,CHE,2011,55080.77689
Syria,SYR,2011,5636.243552
Taiwan,TWN,2011,40507.76978
Tajikistan,TJK,2011,2464.028299
Tanzania,TZA,2011,2051.530675
Thailand,THA,2011,13631.78796
Togo,TGO,2011,1217.484728
Trinidad and Tobago,TTO,2011,30159.18
Tunisia,TUN,2011,10168.24083
Turkey,TUR,2011,17525.16887
Turkmenistan,TKM,2011,16369.72272
Turks and Caicos Islands,TCA,2011,21559.04385
Uganda,UGA,2011,1786.908197
Ukraine,UKR,2011,10028.95596
United Arab Emirates,ARE,2011,62388.03307
United Kingdom,GBR,2011,36483.28363
United States,USA,2011,49908.57144
Uruguay,URY,2011,17983.18956
Uzbekistan,UZB,2011,7071.823629
Venezuela,VEN,2011,16784.70992
Vietnam,VNM,2011,4558.690801
Yemen,YEM,2011,3797.384066
Zambia,ZMB,2011,3393.771681
Zimbabwe,ZWE,2011,1453.49527
Albania,ALB,2010,8978.370144
Algeria,DZA,2010,12449.70104
Angola,AGO,2010,6130.026984
Anguilla,AIA,2010,27138.19744
Antigua and Barbuda,ATG,2010,19725.58743
Argentina,ARG,2010,18501.46612
Armenia,ARM,2010,7111.749307
Aruba,ABW,2010,39066.40012
Australia,AUS,2010,43154.96152
